step,ΔE,ΔS,left,right,E
215,3.1692054039179993,-1.2978859341434115,82,18,-133.88145999515385
216,9.036693192865016,1.032810778672141,82,18,-133.88145999515385
217,3.0084482654031888,-1.2978859341434115,82,18,-133.88145999515385
218,15.381588372036418,1.032810778672141,82,18,-133.88145999515385
219,4.509863606243897,-1.2978859341434115,82,18,-133.88145999515385
220,6.8198238360963614,1.032810778672141,82,18,-133.88145999515385
221,3.823504277506032,1.032810778672141,82,18,-133.88145999515385
222,6.521959451931281,-1.2978859341434115,82,18,-133.88145999515385
223,2.4249354497112563,1.032810778672141,84,16,-131.4565245454426
224,-1.8400649811439678,-1.032810778672141,82,18,-133.29658952658656
225,7.416243571662378,1.032810778672141,82,18,-133.29658952658656
